timestamp,commit,nb_pages,file_size,compilation_duration
2020-10-27 12:56:48,,22,282325,
2020-10-27 13:37:12,,22,286444,
2020-10-27 14:10:44,,26,296649,
2020-10-27 14:32:40,,26,296817,
2020-10-27 14:49:19,,26,296629,
2020-10-27 14:53:19,,26,296730,
2020-10-27 17:10:26,,26,296578,
2020-10-28 09:31:52,0b869976a501f465e50bc2cd38829eb593f21733,26,296952,12.21
2020-10-28 10:17:02,b900ced3e740291b997d49dbdc70fd6d2fb24107,26,296757,11.80
2020-10-28 10:34:28,6945059ed91465500c2390af39f8921503fc4a3d,26,296951,11.78
2020-10-28 14:53:26,1ce1844ce1c09b7fe488cc6e483466f32a772d09,26,308816,8.85
2020-10-28 17:00:19,06eb5c626ea8e721d49104a424d2405fd343a433,30,419407,15.38
2020-10-29 10:12:42,9b56eab50c949ed2bd2a52b82feda08e3ca228ca,32,444693,16.59
2020-10-29 10:34:50,fc02ae07d619e58a77cb5147a611c10f92a9ac27,32,445619,14.28
2020-10-29 16:13:47,c54de05673a81e83de9a4428a995fdda32e58d65,38,496623,18.60
2020-10-30 13:49:16,6b6ce5b8576c6c103d12ea2f5ac7dd35daf0fe07,40,513562,18.63
2020-10-30 16:14:03,aa6ac4c90e93d3abe0b2a9e0a724e58da8fa755b,40,513578,20.10
2020-10-30 16:37:56,69bd00274b80734f4133efbb3715a470bd7d57a5,42,846049,17.52
2020-10-30 17:31:28,b567b1e28d8c4ca4e0c53d29177dc4a9cfee9ec6,42,1119616,21.10
2020-11-02 15:57:27,de808390faf20ccdf7fab7bb26abb1e119df87f6,42,1125104,20.55
2020-11-02 17:45:44,4e638e1d6d5308ce208dccb2b929619881f21837,44,1129768,19.60
2020-11-03 11:41:10,4786d358621992857466bed6260e067188fb4c28,60,1151543,17.69
2020-11-03 13:44:00,fc9ab1f80fdce84f04b92a56e4b21eaf5a65d275,60,1156349,19.17
2020-11-03 13:55:11,bd36129e7fe55e3cdd6ae56c334dfd415658fc86,60,1162641,17.11
2020-11-03 14:09:59,11a32baffd19a5c7f8f558724270c1c50490149f,62,1173512,20.69
2020-11-03 14:17:16,c7e99b5e2c6e8a2bc6e27549a5572d59c14d6880,62,1173259,22.96
2020-11-04 13:41:59,7e51a4ed64f5788a47066cfb12fffa706179ae69,62,1175676,19.42
2020-11-04 15:01:41,2b52bf911161c4618f141dc009c95272d4eb2bfe,64,1181598,21.55
2020-11-04 16:31:10,c81e9df92c34eb2b528248bdfaf4e3422cab2095,64,1182371,19.10
